dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,84.627697,63.361329,83.695439,61.645976,-77.888109,-2.216827,0.002491
0.020000,85.829441,63.364087,84.897186,60.087350,-77.931332,-2.161167,0.002096
0.020000,86.999997,63.366306,86.067743,58.527880,-77.973470,-2.106905,0.001693
0.020000,88.139347,63.368004,87.207095,56.967590,-78.014498,-2.051378,0.001284
0.020000,89.247477,63.369199,88.315225,55.406502,-78.054436,-1.996893,0.000871
0.020000,90.324369,63.369913,89.392118,53.844636,-78.093265,-1.941481,0.000453
0.020000,91.370010,63.370169,90.437758,52.282016,-78.130999,-1.886691,0.000034
0.020000,92.384383,63.369992,91.452132,50.718664,-78.167632,-1.831621,6.282799
0.020000,93.367475,63.369406,92.435224,49.154601,-78.203164,-1.776604,6.282379
0.020000,94.319271,63.368441,93.387021,47.589849,-78.237596,-1.721614,6.281961
0.020000,95.239759,63.367123,94.307509,46.024430,-78.270927,-1.666535,6.281545
0.020000,96.128925,63.365482,95.196677,44.458367,-78.303154,-1.611390,6.281133
0.020000,96.986756,63.363547,96.054510,42.891681,-78.334284,-1.556469,6.280726
0.020000,97.813241,63.361349,96.880998,41.324395,-78.364309,-1.501248,6.280325
0.020000,98.608368,63.358919,97.676129,39.756530,-78.393239,-1.446534,6.279931
0.020000,99.372126,63.356286,98.439891,38.188109,-78.421058,-1.390927,6.279544
0.020000,100.104503,63.353482,99.172274,36.619154,-78.447783,-1.336250,6.279167
0.020000,100.805491,63.350537,99.873268,35.049686,-78.473398,-1.280730,6.278800
0.020000,101.475078,63.347481,100.542862,33.479727,-78.497926,-1.226429,6.278442
0.020000,102.113257,63.344344,101.181048,31.909300,-78.521336,-1.170500,6.278097
0.020000,102.720017,63.341155,101.787817,30.338427,-78.543668,-1.116586,6.277763
0.020000,103.295350,63.337944,102.363159,28.767130,-78.564851,-1.059155,6.277443
0.020000,103.839250,63.334737,102.907068,27.195430,-78.584987,-1.006812,6.277136
0.020000,104.351707,63.331563,103.419535,25.623350,-78.604002,-0.950754,6.276843
0.020000,104.832715,63.328445,103.900553,24.050912,-78.621888,-0.894288,6.276566
0.020000,105.282267,63.325411,104.350116,22.478138,-78.638719,-0.841561,6.276303
0.020000,105.700358,63.322482,104.768217,20.905050,-78.654408,-0.784418,6.276057
0.020000,106.086981,63.319682,105.154850,19.331669,-78.669030,-0.731136,6.275828
0.020000,106.442132,63.317031,105.510011,17.758019,-78.682514,-0.674200,6.275615
0.020000,106.765805,63.314549,105.833693,16.184120,-78.694943,-0.621430,6.275420
0.020000,107.057996,63.312254,106.125893,14.609995,-78.706250,-0.565372,6.275242
0.020000,107.318701,63.310162,106.386606,13.035667,-78.716422,-0.508562,6.275083
0.020000,107.547916,63.308289,106.615830,11.461156,-78.725556,-0.456698,6.274943
0.020000,107.745639,63.306647,106.813559,9.886485,-78.733533,-0.398864,6.274821
0.020000,107.911867,63.305248,106.979793,8.311675,-78.740472,-0.346938,6.274718
0.020000,108.046597,63.304102,107.114528,6.736751,-78.746232,-0.288007,6.274634
0.020000,108.149828,63.303216,107.217762,5.161731,-78.750968,-0.236812,6.274570
0.020000,108.221558,63.302596,107.289495,3.586640,-78.754566,-0.179879,6.274525
0.020000,108.261786,63.302247,107.329725,2.011499,-78.757047,-0.124074,6.274500
0.020000,108.276206,63.302122,107.344146,0.721042,-64.522867,711.709007,6.274491
0.020000,108.278388,63.302103,107.346328,0.109083,-30.597963,1696.245183,6.274490
0.020000,108.278388,63.302103,107.346328,0.000000,-5.454131,1257.191588,6.274490
