dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,83.460950,40.358113,82.905805,62.772143,-78.543085,2.271509,0.002877
0.020000,84.684989,40.361400,84.129848,61.202168,-78.498760,2.216245,0.002491
0.020000,85.877647,40.364137,85.322509,59.633057,-78.455521,2.161979,0.002096
0.020000,87.038940,40.366339,86.483805,58.064789,-78.413394,2.106313,0.001693
0.020000,88.168886,40.368023,87.613752,56.497342,-78.372357,2.051886,0.001284
0.020000,89.267499,40.369208,88.712366,54.930694,-78.332429,1.996406,0.000871
0.020000,90.334795,40.369916,89.779662,53.364822,-78.293592,1.941827,0.000453
0.020000,91.370789,40.370169,90.815656,51.799705,-78.255860,1.886611,0.000034
0.020000,92.375496,40.369993,91.820363,50.235320,-78.219227,1.831651,6.282799
0.020000,93.348929,40.369414,92.793796,48.671646,-78.183694,1.776619,6.282379
0.020000,94.291101,40.368458,93.735969,47.108661,-78.149264,1.721540,6.281961
0.020000,95.202027,40.367154,94.646896,45.546342,-78.115933,1.666530,6.281545
0.020000,96.081719,40.365530,95.526589,43.984668,-78.083702,1.611568,6.281133
0.020000,96.930189,40.363617,96.375062,42.423617,-78.052574,1.556369,6.280726
0.020000,97.747450,40.361443,97.192325,40.863166,-78.022545,1.501452,6.280325
0.020000,98.533512,40.359041,97.978391,39.303293,-77.993625,1.446022,6.279931
0.020000,99.288387,40.356438,98.733270,37.743977,-77.965796,1.391466,6.279544
0.020000,100.012086,40.353667,99.456974,36.185196,-77.939076,1.335983,6.279167
0.020000,100.704618,40.350758,100.149513,34.626927,-77.913449,1.281329,6.278800
0.020000,101.365994,40.347739,100.810896,33.069148,-77.888940,1.225468,6.278442
0.020000,101.996223,40.344642,101.441132,31.511838,-77.865516,1.171216,6.278097
0.020000,102.595314,40.341493,102.040232,29.954974,-77.843216,1.114977,6.277763
0.020000,103.163276,40.338323,102.608203,28.398534,-77.821972,1.062215,6.277443
0.020000,103.700117,40.335158,103.145053,26.842496,-77.801883,1.004436,6.277136
0.020000,104.205844,40.332025,103.650789,25.286839,-77.782876,0.950334,6.276843
0.020000,104.680465,40.328949,104.125420,23.731540,-77.764943,0.896645,6.276566
0.020000,105.123986,40.325955,104.568952,22.176577,-77.748158,0.839276,6.276303
0.020000,105.536415,40.323066,104.981390,20.621928,-77.732432,0.786279,6.276057
0.020000,105.917756,40.320304,105.362742,19.067571,-77.717843,0.729485,6.275828
0.020000,106.268016,40.317690,105.713011,17.513485,-77.704316,0.676310,6.275615
0.020000,106.587199,40.315242,106.032204,15.959646,-77.691936,0.619041,6.275420
0.020000,106.875311,40.312979,106.320325,14.406034,-77.680635,0.565028,6.275242
0.020000,107.132356,40.310917,106.577377,12.852626,-77.670400,0.511771,6.275083
0.020000,107.358336,40.309070,106.803365,11.299399,-77.661327,0.453651,6.274943
0.020000,107.553256,40.307452,106.998292,9.746333,-77.653298,0.401430,6.274821
0.020000,107.717118,40.306073,107.162160,8.193405,-77.646430,0.343396,6.274718
0.020000,107.849925,40.304943,107.294972,6.640593,-77.640585,0.292278,6.274634
0.020000,107.951679,40.304069,107.396730,5.087875,-77.635914,0.233545,6.274570
0.020000,108.022381,40.303459,107.467434,3.535229,-77.632304,0.180474,6.274525
0.020000,108.062032,40.303115,107.507087,1.982633,-77.629778,0.126298,6.274500
0.020000,108.076245,40.302991,107.521301,0.710689,-63.597212,701.628328,6.274491
0.020000,108.078396,40.302972,107.523451,0.107516,-30.158631,1671.929032,6.274490
0.020000,108.078396,40.302972,107.523451,0.000000,-5.375804,1239.141340,6.274490
